,Site - Sales Organization (Code),Site - Sales Organization (Text),Site No,Site Name,EDI Number,Street Name,Town,State,Post Code,Store Mgr,Telephone,Fax Number,Store opened,Liquor License,Address,Location,Point
68,1030,New Small Stores,3452,60 Elizabeth St CNV,9300633034528,60 Elizabeth St,Melbourne,Victoria,3000,,03 8347 6692,03 9662 1745,23.12.2015,,"60 Elizabeth St, Melbourne, Victoria 3000 Australia","60 Elizabeth St, Melbourne, Victoria, 3000","(-37.81669349307972, 144.9645645567051, 0.0)"
69,1030,New Small Stores,3453,Southbank CNV,9300633034535,245 - 263 City Road,Southbank,Victoria,3006,Jason Knoll,03 8347 6651,03 9686 1606,16.11.2016,,"245 - 263 City Road, Southbank, Victoria 3006 Australia","263 City Rd, Southbank, Melbourne, Victoria, 3006","(-37.82677809606622, 144.9594788369534, 0.0)"
70,1030,New Small Stores,3576,Union Road Metro,9300633035761,199 Union Street,Ascot Vale,Victoria,3032,Possible Delete,03 9258 8420,,02.12.2020,,"199 Union Street, Ascot Vale, Victoria 3032 Australia","199 Union Rd, Ascot Vale, Melbourne, Victoria, 3032","(-37.77298815444717, 144.91573091825273, 0.0)"
71,1030,New Small Stores,3579,Clifton Hill Metro,9300633035792,141 Queens Parade,Clifton Hill,Victoria,3068,,03 9624 6297,,24.06.2020,,"141 Queens Parade, Clifton Hill, Victoria 3068 Australia","141 Queens Pde, Clifton Hill, Melbourne, Victoria, 3068","(-37.788985561481205, 144.99100032494914, 0.0)"
72,1030,New Small Stores,3607,Albert Park Metro,9300633036072,95-97 Dundas Place,Albert Park,Victoria,3206,,03 9258 8404,,10.12.2021,,"95-97 Dundas Place, Albert Park, Victoria 3206 Australia","95-97 Dundas Pl, Albert Park, Melbourne, Victoria, 3206","(-37.84141109690136, 144.95535519204816, 0.0)"
73,1030,New Small Stores,3711,600 Bourke St CNV,9300633037116,600 Bourke St,Melbourne,Victoria,3000,,03 8347 6683,03 9642 1477,08.03.2015,,"600 Bourke St, Melbourne, Victoria 3000 Australia","600 Bourke St, Melbourne, Victoria, 3000","(-37.816000728782264, 144.9563145008666, 0.0)"
74,1030,New Small Stores,3762,Collins Square CNV,9300633037628,727 Collins Street,Docklands,Victoria,3008,David Smith,03 96246205,03 96140469,14.03.2017,,"727 Collins Street, Docklands, Victoria 3008 Australia","727 Collins St, Docklands, Melbourne, Victoria, 3008","(-37.82050365480618, 144.9499622755451, 0.0)"
75,1030,New Small Stores,3763,Black Rock Metro,9300633037635,39-41 Bluff Road,Black Rock,Victoria,3193,,03 8551 8721,,14.04.2021,,"39-41 Bluff Road, Black Rock, Victoria 3193 Australia","41 Bluff Rd, Black Rock, Melbourne, Victoria, 3193","(-37.97388275990909, 145.01628064784046, 0.0)"
76,1030,New Small Stores,3819,Armadale Metro,9300633038199,1068 High Street,Armadale,Victoria,3143,,03 8347 6617,03 X,04.07.2017,,"1068 High Street, Armadale, Victoria 3143 Australia","1068 High St, Armadale, Melbourne, Victoria, 3143","(-37.85595897950975, 145.02284904244488, 0.0)"
77,1030,New Small Stores,3855,Caulfield North,9300633038557,360 Orrong Rd,Caulfield North,Victoria,3161,Jeff Moss,03 9624 6208,03 X,25.10.2017,,"360 Orrong Rd, Caulfield North, Victoria 3161 Australia","360 Orrong Rd, Caulfield North, Melbourne, Victoria, 3161","(-37.86309105710271, 145.01023134449974, 0.0)"
78,1030,New Small Stores,3906,262 Flinders St,9300633039066,262 Flinders Street,Melbourne,Victoria,3000,,03 8347 6657,03 X,03.03.2015,,"262 Flinders Street, Melbourne, Victoria 3000 Australia","262 Flinders St, Melbourne, Victoria, 3000","(-37.8177640716628, 144.9656474985954, 0.0)"
79,1030,New Small Stores,3999,St Kilda West CNV,9300633039998,64 Fitzroy Street,St Kilda West,Victoria,3182,,03 8347 6673,(03) 9534 0031,04.07.2014,,"64 Fitzroy Street, St Kilda West, Victoria 3182 Australia","64 Fitzroy St, St Kilda, Melbourne, Victoria, 3182","(-37.859211618946496, 144.9777741846525, 0.0)"
80,1030,New Small Stores,8274,Eastlakes North Metro,9300633082741,16 Evans Avenue,Eastlakes,New South Wales,2018,,02 9308 7317,,08.09.2021,,"16 Evans Avenue, Eastlakes, New South Wales 2018 Australia","16 Evans Av, Eastlakes, Sydney, New South Wales, 2018","(-33.92411787711276, 151.21134981103768, 0.0)"
