,Unnamed: 0,Site No,Site Name,EDI Number,Street Name,Town,State,Post Code,Telephone,Date opened,Address,Location,Point,latitude,longitude
10,10,1909,Wyong XDock Hub,9300633019099,Warren Road,Warnervale,New South Wales,2259,0404 829 884,01.06.2022,"Warren Road, Warnervale, New South Wales 2259 Australia","Warren Rd, Warnervale, Central Coast, New South Wales, 2259","(-33.23381756915624, 151.4266143343493, 0.0)",-33.23381756915624,151.4266143343493
11,11,1911,Americold Prospect DC - Freeze,9300633019112,560 Reservoir Road,Prospect,New South Wales,2148,02 9840 5200,23.03.2010,"560 Reservoir Road, Prospect, New South Wales 2148 Australia","560 Reservoir Rd, Prospect, Sydney, New South Wales, 2148","(-33.81024582488939, 150.92051151717106, 0.0)",-33.81024582488939,150.92051151717106
12,12,1912,Rivalea,9300633019129,Hudson Road,Corowa,New South Wales,2646,#,05.10.2018,"Hudson Road, Corowa, New South Wales 2646 Australia","Hudsons Rd, Corowa, New South Wales, 2646","(-35.97008501690351, 146.3318750012349, 0.0)",-35.97008501690351,146.3318750012349
13,13,1915,Wyong Transport Office,9300633019150,Warren Road,Warnervale,New South Wales,2259,#,#,"Warren Road, Warnervale, New South Wales 2259 Australia","Warren Rd, Warnervale, Central Coast, New South Wales, 2259","(-33.23381756915624, 151.4266143343493, 0.0)",-33.23381756915624,151.4266143343493
14,14,1917,Pegasus Stationery/Wrapping DC,9300633019174,Bessemer Street,Blacktown,New South Wales,2148,#,01.10.2004,"Bessemer Street, Blacktown, New South Wales 2148 Australia","Bessemer St, Blacktown, Sydney, New South Wales, 2148","(-33.75536208611105, 150.90620735091133, 0.0)",-33.75536208611105,150.90620735091133
15,15,1919,BE Campbell,9300633019198,144 Newton Road,Wetherill Park,New South Wales,2164,#,05.10.2018,"144 Newton Road, Wetherill Park, New South Wales 2164 Australia","144 Newton Rd, Wetherill Park, Sydney, New South Wales, 2164","(-33.8396979886292, 150.89079968207085, 0.0)",-33.8396979886292,150.89079968207085
16,16,1925,Carlile Bendigo,9300633019259,Mcdowalls  Mayfair Park Industrial,East Bendigo,Victoria,3550,#,#,"Mcdowalls  Mayfair Park Industrial, East Bendigo, Victoria 3550 Australia",3550,"(-36.76752799999997, 144.29277500000012, 0.0)",-36.76752799999997,144.29277500000012
17,17,1926,Americold Arndell Park DC - Mi,9300633019266,21 Holbeche Road,Arndell Park,New South Wales,2148,02 8811 7372,06.09.2011,"21 Holbeche Road, Arndell Park, New South Wales 2148 Australia","21 Holbeche Rd, Arndell Park, Sydney, New South Wales, 2148","(-33.786111601528766, 150.87963574141247, 0.0)",-33.786111601528766,150.87963574141247
18,18,1927,Teys Tamworth Beef,9300633019273,99 Phoenix St,Westdale,New South Wales,2340,#,#,"99 Phoenix St, Westdale, New South Wales 2340 Australia","99 Phoenix St, Westdale, Westdale (North), New South Wales, 2340","(-31.072979880122322, 150.85733218202887, 0.0)",-31.072979880122322,150.85733218202887
19,19,1930,Wyong RDC - Confectionary/Secu,9300633019303,Warren Road,Warnervale,New South Wales,2259,#,30.07.2010,"Warren Road, Warnervale, New South Wales 2259 Australia","Warren Rd, Warnervale, Central Coast, New South Wales, 2259","(-33.23381756915624, 151.4266143343493, 0.0)",-33.23381756915624,151.4266143343493
20,20,1931,Wyong RDC - Aerosols/Requisite,9300633019310,Warren Road,Warnervale,New South Wales,2259,#,30.07.2010,"Warren Road, Warnervale, New South Wales 2259 Australia","Warren Rd, Warnervale, Central Coast, New South Wales, 2259","(-33.23381756915624, 151.4266143343493, 0.0)",-33.23381756915624,151.4266143343493
21,21,1933,Wyong RDC - Ambient,9300633019334,Warren Road,Warnervale,New South Wales,2259,#,04.07.2005,"Warren Road, Warnervale, New South Wales 2259 Australia","Warren Rd, Warnervale, Central Coast, New South Wales, 2259","(-33.23381756915624, 151.4266143343493, 0.0)",-33.23381756915624,151.4266143343493
22,22,1937,Wyong RDC - Chilled,9300633019372,Warren Road,Warnervale,New South Wales,2259,#,04.07.2005,"Warren Road, Warnervale, New South Wales 2259 Australia","Warren Rd, Warnervale, Central Coast, New South Wales, 2259","(-33.23381756915624, 151.4266143343493, 0.0)",-33.23381756915624,151.4266143343493
23,23,1938,Wyong RDC - Milk,9300633019389,Warren Road,Warnervale,New South Wales,2259,#,24.10.2005,"Warren Road, Warnervale, New South Wales 2259 Australia","Warren Rd, Warnervale, Central Coast, New South Wales, 2259","(-33.23381756915624, 151.4266143343493, 0.0)",-33.23381756915624,151.4266143343493
24,24,1940,Sydney RDC - TC PTZ,9300633019402,69 Sargents Rd,Minchinbury,New South Wales,2770,#,20.02.2020,"69 Sargents Rd, Minchinbury, New South Wales 2770 Australia","69 Sargents Rd, Minchinbury, Sydney, New South Wales, 2770","(-33.78835929268429, 150.81439385694193, 0.0)",-33.78835929268429,150.81439385694193
25,25,1944,Sydney NDC,9300633019440,Cnr Fairfield and Dursley Rd,Yennora,New South Wales,2161,02 9892 7555,01.06.2001,"Cnr Fairfield and Dursley Rd, Yennora, New South Wales 2161 Australia","Fairfield Rd & Dursley Rd, Yennora, Sydney, New South Wales, 2161","(-33.8575899991475, 150.95866996373917, 0.0)",-33.8575899991475,150.95866996373917
26,26,1946,Wyong RDC - Produce,9300633019464,1 Warren Road,Warnervale,New South Wales,2259,02 8885 2131,19.10.2005,"1 Warren Road, Warnervale, New South Wales 2259 Australia","1 Warren Rd, Warnervale, Central Coast, New South Wales, 2259","(-33.2324797562638, 151.42550074399335, 0.0)",-33.2324797562638,151.42550074399335
27,27,1947,Americold Fresh DC Arndell Par,9300633019471,21 Holbeche Road,Arndell Park,New South Wales,2148,02 9675 8100,24.04.2006,"21 Holbeche Road, Arndell Park, New South Wales 2148 Australia","21 Holbeche Rd, Arndell Park, Sydney, New South Wales, 2148","(-33.786111601528766, 150.87963574141247, 0.0)",-33.786111601528766,150.87963574141247
28,28,1948,Sydney RDC - Seafood,9300633019488,69 Sargents Road,MINCHINBURY,New South Wales,2770,02 9675 8100,08.10.2007,"69 Sargents Road, MINCHINBURY, New South Wales 2770 Australia","69 Sargents Rd, Minchinbury, Sydney, New South Wales, 2770","(-33.78835929268429, 150.81439385694193, 0.0)",-33.78835929268429,150.81439385694193
29,29,1951,Sydney Liquor DC - Securities,9300633019518,29 Sarah Andrews Close,Erskine Park,New South Wales,2759,#,18.02.2009,"29 Sarah Andrews Close, Erskine Park, New South Wales 2759 Australia","29 Sarah Andrews Cl, Erskine Park, Sydney, New South Wales, 2759","(-33.82498083348618, 150.7831501452174, 0.0)",-33.82498083348618,150.7831501452174
30,30,1953,Sydney LDC-Ambient,9300633019532,29 Sarah Andrews Close,Erskine Park,New South Wales,2759,#,13.05.2008,"29 Sarah Andrews Close, Erskine Park, New South Wales 2759 Australia","29 Sarah Andrews Cl, Erskine Park, Sydney, New South Wales, 2759","(-33.82498083348618, 150.7831501452174, 0.0)",-33.82498083348618,150.7831501452174
31,31,1955,SLDC - Events,9300633019556,29  Sarah Andrews Close,Erskine Park,New South Wales,2759,02 8887 2146,02.04.2012,"29  Sarah Andrews Close, Erskine Park, New South Wales 2759 Australia","29 Sarah Andrews Cl, Erskine Park, Sydney, New South Wales, 2759","(-33.82498083348618, 150.7831501452174, 0.0)",-33.82498083348618,150.7831501452174
32,32,1957,Contingency DC NSW,9300633019570,40 Blackbird Close,Hoxton Park,New South Wales,2171,#,#,"40 Blackbird Close, Hoxton Park, New South Wales 2171 Australia","40 Blackbird Cl, Len Waters Estate, New South Wales, 2171","(-33.91233895621837, 150.85125830529785, 0.0)",-33.91233895621837,150.85125830529785
33,33,1959,Wyong RDC - Fresh,9300633019594,Warren Road,Warnervale,New South Wales,2259,#,24.10.2005,"Warren Road, Warnervale, New South Wales 2259 Australia","Warren Rd, Warnervale, Central Coast, New South Wales, 2259","(-33.23381756915624, 151.4266143343493, 0.0)",-33.23381756915624,151.4266143343493
34,34,1966,AFG - Don Watson,9300633019662,213-215 Newton Rd,Wetherill Park,New South Wales,2164,#,05.10.2018,"213-215 Newton Rd, Wetherill Park, New South Wales 2164 Australia","215 Newton Rd, Wetherill Park, Sydney, New South Wales, 2164","(-33.837119966669526, 150.88527022436506, 0.0)",-33.837119966669526,150.88527022436506
35,35,1967,Tatura Lamb Ops,9300633019679,PO Box 320,Patterson Lakes,Victoria,3197,#,#,"PO Box 320, Patterson Lakes, Victoria 3197 Australia","3197, Patterson Lakes, Melbourne, Victoria","(-38.068091668158196, 145.14369595328296, 0.0)",-38.068091668158196,145.14369595328296
36,36,1973,Sydney LIQ NDC - SCE Test DC 1,9300633019730,29 Sarah Andrews Close,Erskine Park,New South Wales,2759,88850500,#,"29 Sarah Andrews Close, Erskine Park, New South Wales 2759 Australia","29 Sarah Andrews Cl, Erskine Park, Sydney, New South Wales, 2759","(-33.82498083348618, 150.7831501452174, 0.0)",-33.82498083348618,150.7831501452174
37,37,1979,Sydney RDC - Ambient,9300633019792,69 Sargents Road,Minchinbury,New South Wales,2770,02 9675 8100,13.02.1998,"69 Sargents Road, Minchinbury, New South Wales 2770 Australia","69 Sargents Rd, Minchinbury, Sydney, New South Wales, 2770","(-33.78835929268429, 150.81439385694193, 0.0)",-33.78835929268429,150.81439385694193
38,38,1983,Sydney RDC - CARS,9300633019839,69 Sargents Road,Minchinbury,New South Wales,2770,02 9675 8100,13.06.2005,"69 Sargents Road, Minchinbury, New South Wales 2770 Australia","69 Sargents Rd, Minchinbury, Sydney, New South Wales, 2770","(-33.78835929268429, 150.81439385694193, 0.0)",-33.78835929268429,150.81439385694193
39,39,1986,Sydney RDC - Produce,9300633019860,69 Sargents Road,Minchinbury,New South Wales,2770,02 9675 8100,01.05.2007,"69 Sargents Road, Minchinbury, New South Wales 2770 Australia","69 Sargents Rd, Minchinbury, Sydney, New South Wales, 2770","(-33.78835929268429, 150.81439385694193, 0.0)",-33.78835929268429,150.81439385694193
40,40,1987,Sydney RDC - Chilled,9300633019877,69 Sargents Road,Minchinbury,New South Wales,2770,02 9675 8100,06.03.2006,"69 Sargents Road, Minchinbury, New South Wales 2770 Australia","69 Sargents Rd, Minchinbury, Sydney, New South Wales, 2770","(-33.78835929268429, 150.81439385694193, 0.0)",-33.78835929268429,150.81439385694193
41,41,1988,Sydney RDC - Meat,9300633019884,69 Sargents Road,Minchinbury,New South Wales,2770,02 9675 8100,06.03.2006,"69 Sargents Road, Minchinbury, New South Wales 2770 Australia","69 Sargents Rd, Minchinbury, Sydney, New South Wales, 2770","(-33.78835929268429, 150.81439385694193, 0.0)",-33.78835929268429,150.81439385694193
42,42,1998,Qube - NSW,9300633019983,"WH51,  400 MOOREBANK AVENUE",MOOREBANK,New South Wales,2170,0401 136 608,15.09.2008,"WH51,  400 MOOREBANK AVENUE, MOOREBANK, New South Wales 2170 Australia","400 Moorebank Av, Moorebank, Sydney, New South Wales, 2170","(-33.94900974070141, 150.92511033216732, 0.0)",-33.94900974070141,150.92511033216732
43,43,2007,Heathwood International,9300633020071,131 SHERIDAN STREET,CAIRNS,Queensland,4870,(07) 4051-2790,11.08.2022,"131 SHERIDAN STREET, CAIRNS, Queensland 4870 Australia","131 Sheridan St, Cairns City, Cairns, Queensland, 4870","(-16.91854793434895, 145.76882970787995, 0.0)",-16.91854793434895,145.76882970787995
44,44,2008,Heathwood Meat,9300633020088,CREEK RD AND WINSTANLEY STREET,CARINDALE,Queensland,4152,(07) 3395-0279,24.06.2021,"CREEK RD AND WINSTANLEY STREET, CARINDALE, Queensland 4152 Australia","Creek Rd & Winstanley St, Carindale, Brisbane, Queensland, 4152","(-27.50520001515057, 153.09972998364816, 0.0)",-27.50520001515057,153.09972998364816
45,45,2010,Heathwood Chilled,9300633020101,19-23 SHORE STREET,CLEVELAND,Queensland,4163,(07) 3821-0225,24.06.2021,"19-23 SHORE STREET, CLEVELAND, Queensland 4163 Australia","19-23 Shore St, Cleveland, Brisbane, Queensland, 4163","(-27.524537568690505, 153.26532311423932, 0.0)",-27.524537568690505,153.26532311423932
46,46,2011,Heathwood Freezer,9300633020118,CNR WYNNUM AND JUNCTION ROAD,COLMSLIE,Queensland,4170,(07) 3399-6455,24.06.2021,"CNR WYNNUM AND JUNCTION ROAD, COLMSLIE, Queensland 4170 Australia","Wynnum Rd & Junction Rd, Morningside, Brisbane, Queensland, 4170","(-27.46676002045477, 153.07842997511773, 0.0)",-27.46676002045477,153.07842997511773
47,47,2114,Xmas Hams - Swires,9300633021146,1181 Lytton Rd,Hemmant,Queensland,4174,#,05.10.2018,"1181 Lytton Rd, Hemmant, Queensland 4174 Australia","1181 Lytton Rd, Hemmant, Brisbane, Queensland, 4174","(-27.44533608548592, 153.12465809896804, 0.0)",-27.44533608548592,153.12465809896804
48,48,2899,Teys Beenleigh Beef Abattoir,9300633028992,Logan River Road,Beenleigh,Queensland,4207,#,01.01.2021,"Logan River Road, Beenleigh, Queensland 4207 Australia","Logan River Rd, Beenleigh, Brisbane, Queensland, 4207","(-27.714114443993353, 153.18727082555662, 0.0)",-27.714114443993353,153.18727082555662
49,49,2902,BLDC Contingency Liquor WH,9300633029029,28 Quarry Road,Stapylton,Queensland,4207,07 3380 9400,#,"28 Quarry Road, Stapylton, Queensland 4207 Australia","28 Quarry Rd, Stapylton, Gold Coast, Queensland, 4207","(-27.73184273752004, 153.24172730242913, 0.0)",-27.73184273752004,153.24172730242913
50,50,2903,Americold Freezer DC Murarrie,9300633029036,51 Alexandra Place,Murarrie,Queensland,4172,07 3907 7281,01.10.1994,"51 Alexandra Place, Murarrie, Queensland 4172 Australia","51 Alexandra Pl, Murarrie, Brisbane, Queensland, 4172","(-27.460692193108002, 153.10772036812625, 0.0)",-27.460692193108002,153.10772036812625
51,51,2904,Namours Coldstore QLD,9300633029043,Berry Street,Churchill,Queensland,4305,07 3202 2811,19.10.2020,"Berry Street, Churchill, Queensland 4305 Australia","Berry St, Churchill, Brisbane, Queensland, 4305","(-27.64437208349761, 152.748286605189, 0.0)",-27.64437208349761,152.748286605189
52,52,2906,Americold Chilled DC Murarrie,9300633029067,51 Alexandra Place,Murarrie,Queensland,4172,#,29.10.2009,"51 Alexandra Place, Murarrie, Queensland 4172 Australia","51 Alexandra Pl, Murarrie, Brisbane, Queensland, 4172","(-27.460692193108002, 153.10772036812625, 0.0)",-27.460692193108002,153.10772036812625
53,53,2908,Swires AFG (3PL),9300633029081,1181 Lytton Rd,Hemmant,Queensland,4174,#,05.10.2018,"1181 Lytton Rd, Hemmant, Queensland 4174 Australia","1181 Lytton Rd, Hemmant, Brisbane, Queensland, 4174","(-27.44533608548592, 153.12465809896804, 0.0)",-27.44533608548592,153.12465809896804
54,54,2909,Americold Meat DC Murarrie,9300633029098,51 Alexandra Place,Murarrie,Queensland,4172,07 3907 7281,23.02.2010,"51 Alexandra Place, Murarrie, Queensland 4172 Australia","51 Alexandra Pl, Murarrie, Brisbane, Queensland, 4172","(-27.460692193108002, 153.10772036812625, 0.0)",-27.460692193108002,153.10772036812625
55,55,2912,Americold Murarrie - TC PTZ,9300633029128, 51 Alexandra Place,Murarrie,Queensland,4172,07 3354 5444,#," 51 Alexandra Place, Murarrie, Queensland 4172 Australia","51 Alexandra Pl, Murarrie, Brisbane, Queensland, 4172","(-27.460692193108002, 153.10772036812625, 0.0)",-27.460692193108002,153.10772036812625
56,56,2913,Ipswich DC (Brismeat),9300633029135,Berry Street,Churchill,Queensland,4305,07 3202 2811,01.10.2004,"Berry Street, Churchill, Queensland 4305 Australia","Berry St, Churchill, Brisbane, Queensland, 4305","(-27.64437208349761, 152.748286605189, 0.0)",-27.64437208349761,152.748286605189
57,57,2915,Brismeat Primal Cutting,9300633029159,Berry Street,Churchill,Queensland,4305,07 3202 2811,21.02.1997,"Berry Street, Churchill, Queensland 4305 Australia","Berry St, Churchill, Brisbane, Queensland, 4305","(-27.64437208349761, 152.748286605189, 0.0)",-27.64437208349761,152.748286605189
58,58,2916,Townsville Fresh,9300633029166,Jay Street,Bohle Townsville,Queensland,4818,#,#,"Jay Street, Bohle Townsville, Queensland 4818 Australia","Jay St, Mount St John, Townsville, Queensland, 4818","(-19.24690147162299, 146.73920954956745, 0.0)",-19.24690147162299,146.73920954956745
59,59,2917,Brismeat Value Added,9300633029173,Berry Street,Churchill,Queensland,4305,07 3202 2811,04.02.1997,"Berry Street, Churchill, Queensland 4305 Australia","Berry St, Churchill, Brisbane, Queensland, 4305","(-27.64437208349761, 152.748286605189, 0.0)",-27.64437208349761,152.748286605189
60,60,2918,HILTON HEATHWOOD MTMFG,9300633029180,22 Seeana Place,HEATHWOOD,Queensland,4110,07 3202 2811,21.02.1997,"22 Seeana Place, HEATHWOOD, Queensland 4110 Australia","22 Seeana Pl, Heathwood, Brisbane, Queensland, 4110","(-27.64411824180005, 152.98810491011858, 0.0)",-27.64411824180005,152.98810491011858
61,61,2919,Somerton Contingency DC,9300633029197,30 Nation Link drive,Somerton,Victoria,3062,07 4753 3600,05.06.2009,"30 Nation Link drive, Somerton, Victoria 3062 Australia","30 Nation Link Dr, Somerton, Melbourne, Victoria, 3062","(-37.63590673805955, 144.9461045884276, 0.0)",-37.63590673805955,144.9461045884276
62,62,2920,Acacia Ridge Ambient DC,9300633029203,338 Bradman Street,Acacia Ridge,Queensland,4110,07 X,28.10.2014,"338 Bradman Street, Acacia Ridge, Queensland 4110 Australia","338 Bradman St, Acacia Ridge, Brisbane, Queensland, 4110","(-27.59416163786974, 153.0390178472917, 0.0)",-27.59416163786974,153.0390178472917
63,63,2922,MORNINGSIDE QLD MEAT MANUF,9300633029227,51 Alexandra Place,Murarrie,Queensland,4172,07 3907 7281,05.08.2009,"51 Alexandra Place, Murarrie, Queensland 4172 Australia","51 Alexandra Pl, Murarrie, Brisbane, Queensland, 4172","(-27.460692193108002, 153.10772036812625, 0.0)",-27.460692193108002,153.10772036812625
64,64,2926,Townsville RDC  - Ambient 2,9300633029265,Jay Street,Bohle Townsville,Queensland,4818,#,01.07.2020,"Jay Street, Bohle Townsville, Queensland 4818 Australia","Jay St, Mount St John, Townsville, Queensland, 4818","(-19.24690147162299, 146.73920954956745, 0.0)",-19.24690147162299,146.73920954956745
65,65,2930,Brisbane RDC - PTZ,9300633029302,12 WOOLWORTHS WAY,BELLA VISTA,New South Wales,2153,02 X,#,"12 WOOLWORTHS WAY, BELLA VISTA, New South Wales 2153 Australia","12 Woolworths Way, Bella Vista, Sydney, New South Wales, 2153","(-33.736647445722014, 150.94929383993124, 0.0)",-33.736647445722014,150.94929383993124
66,66,2942,Brisbane RDC - Fresh,9300633029425,70 Distribution Street,Larapinta,Queensland,4110,#,03.03.2022,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
67,67,2943,Brismeat (Overhead),9300633029432,Berry Street,Churchill,Queensland,4305,07 3202 2811,26.09.2011,"Berry Street, Churchill, Queensland 4305 Australia","Berry St, Churchill, Brisbane, Queensland, 4305","(-27.64437208349761, 152.748286605189, 0.0)",-27.64437208349761,152.748286605189
68,68,2950,Brisbane RDC - MILK,9300633029500,70 Distribution Street,Larapinta,Queensland,4110,07 3907 7200,09.08.2010,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
69,69,2955,Brisbane Events DC,9300633029555,70 Distribution St,Larapinta,Queensland,4110,07 3809 1700,01.10.2011,"70 Distribution St, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
70,70,2985,Brisbane RDC TC Bulk,9300633029852,70 Distribution Street,Larapinta,Queensland,4110,07 3809 1700,01.08.2009,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
71,71,2986,Brisbane RDC - Produce,9300633029869,70 Distribution Street,Larapinta,Queensland,4110,07 3809 1717,05.06.2009,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
72,72,2987,Brisbane RDC - Chilled,9300633029876,70 Distribution Street,Larapinta,Queensland,4110,#,11.07.2006,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
73,73,2988,Townsville RDC  - Fresh,9300633029883,Jay Street,Bohle Townsville,Queensland,4818,#,01.07.2020,"Jay Street, Bohle Townsville, Queensland 4818 Australia","Jay St, Mount St John, Townsville, Queensland, 4818","(-19.24690147162299, 146.73920954956745, 0.0)",-19.24690147162299,146.73920954956745
74,74,2989,Sunpork Kingaroy,9300633029890,206 Kingaroy Barkers Creek Rd,Kingaroy,Queensland,4610,#,05.10.2018,"206 Kingaroy Barkers Creek Rd, Kingaroy, Queensland 4610 Australia","206 Kingaroy Barkers Creek Rd, Kingaroy, Queensland, 4610","(-26.54421821075688, 151.8595378062965, 0.0)",-26.54421821075688,151.8595378062965
75,75,2990,Brisbane RDC - Confectionery,9300633029906,70 Distribution Street,Larapinta,Queensland,4110,07 3809 1700,27.10.2008,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
76,76,2991,Brisbane RDC-Security-Aerosols,9300633029913,70 Distribution Street,Larapinta,Queensland,4110,07 3809 1700,27.10.2008,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
77,77,2993,Brisbane RDC - Ambient,9300633029937,70 Distribution Street,Larapinta,Queensland,4110,#,11.09.2006,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
78,78,2994,Americold Chilled DC Murarrie,9300633029944,51 Alexandra Place,Murarrie,Queensland,4172,#,12.11.2007,"51 Alexandra Place, Murarrie, Queensland 4172 Australia","51 Alexandra Pl, Murarrie, Brisbane, Queensland, 4172","(-27.460692193108002, 153.10772036812625, 0.0)",-27.460692193108002,153.10772036812625
79,79,2995,Townsville RDC - Ambient,9300633029951,Jay Street,Bohle,Queensland,4818,07 4753 3600,01.07.2020,"Jay Street, Bohle, Queensland 4818 Australia","Jay St, Mount St John, Townsville, Queensland, 4818","(-19.24690147162299, 146.73920954956745, 0.0)",-19.24690147162299,146.73920954956745
80,80,2996,Townsville RDC - Produce,9300633029968,Jay Street,Bohle Townsville,Queensland,4818,#,01.07.2020,"Jay Street, Bohle Townsville, Queensland 4818 Australia","Jay St, Mount St John, Townsville, Queensland, 4818","(-19.24690147162299, 146.73920954956745, 0.0)",-19.24690147162299,146.73920954956745
81,81,2998,Qube - Qld,9300633029982,1 Bingera Drive,Port Brisbane Fisherman Isl,Queensland,4178,07 3895 9542,01.08.2009,"1 Bingera Drive, Port Brisbane Fisherman Isl, Queensland 4178 Australia","1 Bingera Dr, Port Of Brisbane, Brisbane, Queensland, 4178","(-27.37554819200912, 153.1814097022551, 0.0)",-27.37554819200912,153.1814097022551
82,82,3872,Thomas Dux Produce Virtual DC,9300633038724,"MELBOURNE MARKET PAD 6, W/H 9",Epping,Victoria,3076,03 9689 1408,#,"MELBOURNE MARKET PAD 6, W/H 9, Epping, Victoria 3076 Australia","3076, Epping, Melbourne, Victoria","(-37.64042360428834, 145.01852496864848, 0.0)",-37.64042360428834,145.01852496864848
83,83,3902,Hume D.C.                 L337,9300633039028,120 Northcorp Boulevarde,Broadmeadows,Victoria,3047,03 9358-5625,01.07.1999,"120 Northcorp Boulevarde, Broadmeadows, Victoria 3047 Australia","120 Northcorp Bvd, Broadmeadows, Melbourne, Victoria, 3047","(-37.68009076718245, 144.94726003378037, 0.0)",-37.68009076718245,144.94726003378037
